Computer,5,300,1,2020-02-01 0:00:00
SmartPhone,3,300,2,2020-02-01 0:00:00
Loudspeaker,3,50,1,2020-02-02 0:00:00
Radio,4,90,1,2020-02-02 0:00:00
Loudspeaker,6,120,1,2020-02-03 0:00:00
TV,2,550,1,2020-02-03 0:00:00
Ps4,10,200,1,2020-02-03 0:00:00
Computer,1,400,2,2020-02-04 0:00:00
Gameboy,11,90,1,2020-02-05 0:00:00
TV,5,600,2,2020-02-05 0:00:00
Radio,7,100,1,2020-02-06 0:00:00
Computer,3,600,2,2020-02-07 0:00:00
TV,1,600,1,2020-02-08 0:00:00
SmartPhone,15,100,1,2020-02-09 0:00:00
Mouse,25,100,2,2020-02-10 0:00:00
Mousepad,60,100,1,2020-02-10 0:00:00
Radio,20,80,1,2020-02-11 0:00:00
Computer,3,400,2,2020-02-11 0:00:00
Ps4,5,200,2,2020-02-12 0:00:00
SmartPhone,7,150,1,2020-02-12 0:00:00